title,specialization,salary,age,employment,experience_years,experience_months,sex,link
Software Developer,"Программист, разработчик",,25,"проектная работа, стажировка, частичная занятость, полная занятость",3,9,False,https://hh.kz/resume/27ecf7a80007e6de260039ed1f776b49346e62
 полная занятость",2,10,False,https://hh.kz/resume/e6be9ffe00087d79960039ed1f4973594d4d4a
"Node/Nest.js, Backend developer, Fullstack","Programmer, developer",,22,"project work, part time, full time",3,2,True,https://hh.kz/resume/adf577e500092bc7f80039ed1f5a356965624d
"Full Stack, NODE JS, разработчик, ArchiMate архитектор","Программист, разработчик",2 764 000 KZT на руки,33,"проектная работа, стажировка, волонтерство, частичная занятость, полная занятость",9,0,False,https://hh.kz/resume/79b0be5800018cdf4a0039ed1f434670455270
"Front-end по вене, node назально, pqsql ректально",Руководитель группы разработки,3 600 USD на руки,25,"проектная работа, частичная занятость, полная занятость",6,10,False,https://hh.kz/resume/5671d08e000599e3fc0039ed1f474f51756667
Front end (React | TS) 💻 | Mobile ( React native | Typescript) 📱 | Backend (Node | Typescript),"Программист, разработчик",,22,"проектная работа, частичная занятость, полная занятость",2,6,False,https://hh.kz/resume/4afdf6960008931f290039ed1f4b50304c5132
Программист-разработчик,"Программист, разработчик",,28,полная занятость,4,9,False,https://hh.kz/resume/cf97790a0002f0a0d70039ed1f373054796b45
Frontend-разработчик,Другое,,22,"стажировка, частичная занятость, полная занятость",1,11,False,https://hh.kz/resume/faedb5620007af1b560039ed1f464974696b48
Software engineer,"Программист, разработчик",,23,"стажировка, полная занятость",1,3,False,https://hh.kz/resume/bd1465da0008aca84b0039ed1f5448495a5971
Frontend-разработчик,"Программист, разработчик",2 500 USD на руки,30,полная занятость,6,8,False,https://hh.kz/resume/68643c050003a934820039ed1f785064565135
инженер по телекоммуникациям,Инженер по эксплуатации,300 000 KZT на руки,43,полная занятость,20,7,False,https://hh.kz/resume/0354d1330000dc73ea0039ed1f754f47527073
Frontend-разработчик,"Программист, разработчик",,29,"частичная занятость, полная занятость",8,6,False,https://hh.kz/resume/0db1d7c00002336f550039ed1f32503931734d
"Junior React разработчик, IT специалист","Программист, разработчик",,32,"проектная работа, частичная занятость, полная занятость",10,6,False,https://hh.kz/resume/f194620500020704660039ed1f6f4b6931565a
Frontend-разработчик,"Программист, разработчик",,34,"проектная работа, частичная занятость, полная занятость",10,11,False,https://hh.kz/resume/485e00ef0005f3ae590039ed1f354439455069
Frontend-разработчик,"Программист, разработчик",,28,"проектная работа, стажировка, частичная занятость, полная занятость",4,9,False,https://hh.kz/resume/3c562fe800045d40790039ed1f43325530646d
"Фронтенд react, javascript разработчик","Программист, разработчик",50 000 руб. на руки,28,"проектная работа, стажировка, волонтерство, частичная занятость, полная занятость",3,2,False,https://hh.kz/resume/205e9f3800058482fe0039ed1f664f6e307672
JavaScript разработчик,"Программист, разработчик",350 000 KZT на руки,22,"проектная работа, стажировка, частичная занятость, полная занятость",4,7,False,https://hh.kz/resume/7418fcbc0005a1238d0039ed1f4958794d3561
Teamlead / Full-stack techlead,"Программист, разработчик",,24,полная занятость,6,10,False,https://hh.kz/resume/1e76649a0007f2525a0039ed1f3271664d6133
Системный администратор,Системный администратор,,32,"проектная работа, стажировка, частичная занятость, полная занятость",9,5,False,https://hh.kz/resume/a706526400036242d00039ed1f625231445777
